Manufacturer,Model,Price,Transmission,Power,Engine CC,Fuel,Male,Female,Unknown,Total
Ford,Focus,30.61932203,5.966101695,94.03389831,1497.169492,petrol,814172,422731,56487,1293390
Volkswagen,Golf,31.24215385,6.164835165,89.46153846,1537.406593,petrol,483216,310604,47563,841383
Renault,Clio,22.1,5.615384615,75.57692308,1219.653846,petrol,241287,312556,28004,581847
BMW,320i,47.84837037,6.444444444,126.1111111,1995.777778,petrol,408016,115843,29125,552984
Volkswagen,Polo,18.1925,5.074074074,60.96296296,1408.055556,petrol,216333,299110,31701,547144
Peugeot,206,20.03375,4.833333333,71.33333333,1631.5,petrol,178698,250614,26135,455447
Nissan,Micra,20.3776087,4.869565217,67.95652174,1279.695652,petrol,143218,253000,26619,422837
Honda,Civic,29.942625,4.5,106.225,1480.575,petrol,242188,132958,21042,396188
Ford,Ka+,15.46,5.0,60.8,1196.0,petrol,102708,269428,20324,392460
Renault,Megane,26.4498867,5.408866995,87.31034483,1623.793103,petrol,209379,156607,21049,387035
Toyota,Yaris,20.7206,3.52,74.4,1397.8,petrol,137907,214944,27670,380521
Mercedes,CLA,46.5274,7.04,131.6,1596.92,petrol,209476,69373,17242,296091
Audi,A4,57.92693548,6.161290323,149.7096774,2283.112903,petrol,202037,59936,13629,275602
Volkswagen,Passat,46.06451282,6.487179487,125.4358974,1835.846154,petrol,211510,48599,14505,274614
Audi,A3,36.21929825,6.473684211,94.33333333,1424.666667,petrol,144962,97033,14460,256455
Peugeot,307,27.46483636,4.872727273,86.45454545,1723.0,petrol,132728,108991,14395,256114
Peugeot,207,21.70216667,4.9,79.76666667,1536.0,petrol,99472,138839,13442,251753
Citroen,Xsara,22.36209302,4.88372093,72.58139535,1743.44186,petrol,145377,87029,11519,243925
Skoda,Fabia,19.00794118,5.205882353,66.97058824,1292.352941,petrol,109408,87532,10776,207716
BMW,118i,37.4265,6.2,104.2,1796.6,petrol,103719,87660,11806,203185
Land-Rover,Freelander,43.86363077,5.292307692,105.1692308,2083.523077,diesel,118279,59369,9921,187569
Citroen,C3,22.90364865,5.405405405,75.64864865,1364.0,petrol,78551,98254,9893,186698
Toyota,Corolla,27.23911864,3.033898305,91.61016949,1677.949153,petrol,104996,67184,12042,184222
Toyota,Avensis,37.31523077,4.323076923,103.6769231,1873.261538,petrol,123806,29728,9574,163108
Mercedes,E,78.07322727,7.672727273,192.4,2598.818182,petrol,125070,24029,9465,158564
Renault,Scenic,32.06304348,5.956521739,89.34782609,1472.826087,diesel,85989,62467,8346,156802
Seat,Ibiza,19.93814035,5.649122807,76.31578947,1205.192982,petrol,74717,73895,6282,154894
Nissan,Qashqai+2,34.93603125,5.25,97.71875,1820.65625,diesel,79290,56539,8830,144659
Skoda,Octavia,30.65053846,6.346153846,95.0,1136.692308,petrol,110428,25662,6147,142237
Fiat,500L,26.29166667,5.6,74.73333333,1186.333333,diesel,30349,102113,8177,140639
Mercedes,A,31.1045119,4.547619048,93.01190476,1699.119048,petrol,55510,68928,9727,134165
Nissan,Almera,22.78208333,4.916666667,81.66666667,1847.666667,petrol,78034,44706,7892,130632
Citroen,C4,29.26025,5.95,90.625,1462.3625,petrol,79604,42130,5547,127281
Mini,One,24.09525,6.25,68.75,1498.25,petrol,29548,87974,7427,124949
Saab,9-3X,49.28583333,6.0,145.0,1963.666667,petrol,84741,27948,6616,119305
Peugeot,107,11.14333333,5.0,50.0,998.0,petrol,32821,73891,5917,112629
Toyota,Aygo,15.20916667,5.0,53.0,998.0,petrol,33395,66147,7814,107356
Hyundai,I10,16.011,5.0,51.77777778,998.0,petrol,39242,63346,4208,106796
Audi,A6,82.06090909,7.727272727,199.7272727,2790.454545,diesel,85861,15146,5507,106514
Kia,Picanto,16.59192308,5.0,52.84615385,998.0,petrol,36803,64725,3857,105385
Nissan,Note,19.31857143,5.0,66.42857143,1348.285714,diesel,54195,41756,5908,101859
Seat,Leon,32.93965169,6.348314607,114.8202247,1615.370787,petrol,65505,30221,3778,99504
Ford,Fusion,19.37890909,4.863636364,61.27272727,1470.909091,petrol,51517,41027,4395,96939
Honda,Accord,39.39984314,5.784313725,117.7058824,2151.647059,petrol,74157,15889,5274,95320
Mazda,MX-5,37.46857143,5.857142857,103.4285714,1718.571429,petrol,47900,39519,5986,93405
Mazda,6,42.66935185,5.907407407,118.1851852,2095.185185,petrol,71632,17216,4536,93384
Citroen,C1,13.48615385,5.0,52.38461538,1028.923077,petrol,30691,57228,4503,92422
Suzuki,Swift,19.08518182,3.727272727,68.90909091,1180.545455,petrol,34918,49829,6070,90817
Ford,Galaxy,53.78571429,6.0,124.8571429,1855.0,diesel,60515,24893,5151,90559
Peugeot,308,32.33086957,5.891304348,103.1086957,1482.5,petrol,50045,36010,4024,90079
Mazda,3,30.99513158,5.789473684,101.8947368,1905.631579,petrol,52309,32724,4647,89680
Audi,TT,64.59222222,6.777777778,178.5555556,2011.555556,petrol,45707,37950,5714,89371
